Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/02  04:00:00,-4.0,3.375,20.0,0.003611610840682202,1112206.1834802933,0.0,401.08582833325283,9.594233853373037e-7,3642031.095500123,1571.4955164838184,1571.4955164838184,16.429856222159938,3142.991032967637 
 01/02  05:00:00,-4.0,4.875,20.0,0.0040225127514351726,1178420.3695868584,0.0,400.83457420531107,7.374186000247696e-7,3640847.7069176044,1355.2985360514404,1355.2985360514404,16.430445463633998,2710.5970721028807 
 01/02  06:00:00,-4.375,5.375,20.0,0.0041836889875563376,1224142.7063269473,0.0,400.6543711438102,5.781935862553017e-7,3695277.024192139,1232.4972476537519,1232.4972476537519,16.375524272965695,2464.9944953075037 
 01/02  07:00:00,-6.1,5.0,20.0,0.004081394272185991,1269392.5253500142,0.0,400.5244701846013,4.63414836957707e-7,3954474.8585943347,1156.9852924453753,1156.9852924453753,16.118370601643086,2313.9705848907506 
 01/02  08:00:00,-7.625,3.75,20.0,0.003758236916686517,1280260.6873925794,0.0,400.42749034473627,3.777247481809633e-7,4184756.1766938,1107.1296581626987,1107.1296581626987,15.891261959539854,2214.2593163253973 
 01/02  09:00:00,-7.562500000000001,4.25,20.0,0.0039011629868561854,1305689.3132077514,0.0,400.3536190939262,3.124530994674942e-7,4176010.1537189716,1072.607122115946,1072.607122115946,15.902201365564629,2145.214244231892 
 01/02  10:00:00,-8.3625,4.375,21.580066624298016,0.0039333874368218,0.0,196979.81487226096,525.5178772272016,2.657498789894705e-7,4500778.336900319,1368.2311849007126,1368.2311849007126,16.92297772638958,6781536.4623698015 
 01/02  11:00:00,-9.0,4.625,22.37830376836449,0.0040060276971818215,0.0,532119.938718935,767.1759630467278,1.8918606880817665e-7,4751884.64120518,6444.912566732552,6444.912566732552,17.72000725439991,8321689.825133465 
 01/02  12:00:00,-8.0,3.75,22.36732406425908,0.0037835523073163216,0.0,763997.5516472856,873.4514337464665,9.356535877094319e-8,4597323.327015698,15969.088732138734,15969.088732138734,17.891721537272744,8340738.177464277 
 01/02  13:00:00,-7.775,3.625,22.425435975481626,0.0037355895229905334,0.0,800287.9651448631,889.7017678848131,4.088421794730433e-8,4573104.870712742,18568.538100784004,18568.538100784004,17.99226020730778,8345937.076201567 
