Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/02  10:00:00,-8.3625,4.375,20.0556140797132,0.03639666720206305,627172.7328855251,347136.8932037075,547.4156463706855,0.00628191196803098,2848657.957868313,12496.024591999203,12496.024591999203,15.715326579326174,6263792.049183998 
 01/02  11:00:00,-9.0,4.625,20.566069959627235,0.0363993857756469,0.0,528431.3812248292,694.9650492640271,0.0017202418877059877,2976205.0644917516,12496.024591999203,12496.024591999203,16.157749392067238,7613792.049183998 
 01/02  12:00:00,-8.0,3.75,21.170455706388903,0.03645432546798444,0.0,526644.6514387323,735.0133056132751,0.0005418876621491335,2929526.751285851,12496.024591999203,12496.024591999203,16.76349519104813,7613792.049183998 
 01/02  13:00:00,-7.775,3.625,21.510484897398303,0.0363501409327827,0.0,514963.26797334466,748.3503784949359,0.00016822309524283885,2953828.7611947646,12496.024591999203,12496.024591999203,17.195011270353277,7613792.049183998 
 01/02  14:00:00,-7.375,3.375,20.06737482665806,0.03618539952619383,1887897.6047808547,43664.43339860282,653.5175952987809,0.00007632847412766235,2781920.992585193,12496.024591999203,12496.024591999203,16.15022418745184,243872.04918399846 
 01/02  15:00:00,-6.4375,3.0,21.01533277321594,0.03624675781744398,40985.10188539686,381629.2505165662,636.7440117570765,0.00003223408897514859,2752580.3513696305,12496.024591999203,12496.024591999203,16.84232356520783,6263792.049183998 
 01/02  16:00:00,-6.6625,2.375,21.17423621215041,0.036194426031815566,0.0,465717.0162330864,720.9062362766241,75614.15543167526,2830989.4363544835,12496.024591999203,12496.024591999203,17.270928731999216,7613792.049183998 
 01/02  17:00:00,-8.25,2.0,20.55778554002754,0.03630618318357204,0.0,489494.84211034246,744.1465672283991,77430.74511261283,2921364.651414649,12496.024591999203,12496.024591999203,16.452382744329487,7613792.049183998 
 01/02  18:00:00,-8.375,2.0,20.32967960112241,0.03651616577589936,0.0,499705.3786742656,751.5271247678469,22486.699410539495,2898057.1074992386,12496.024591999203,12496.024591999203,16.135948758682538,7613792.049183998 
 01/02  19:00:00,-9.25,2.0,18.99995340110223,0.03656026471828722,2635913.794250629,0.0,614.8377447078401,8813.420057998157,2872047.3413645993,12496.024591999203,12496.024591999203,15.042253189437893,24992.049183998406 
 01/02  20:00:00,-10.0,2.0,18.60254316392094,0.03654710431135273,2569650.120232137,0.0,478.63430556662524,3168.188130814527,2890949.898953326,12496.024591999203,12496.024591999203,14.449472183147815,24992.049183998406 
 01/02  21:00:00,-9.3125,2.0,18.521440891417406,0.036639239575614636,2570835.3096540957,0.0,431.82123122157225,1284.2186286124645,2810411.45015935,12496.024591999203,12496.024591999203,14.453448144032759,24992.049183998406 
 01/02  22:00:00,-9.5875,1.375,18.42877864087857,0.03660158653396807,2581157.06779872,0.0,412.8472803603281,518.4111963801066,2832491.977974818,12496.024591999203,12496.024591999203,14.365787225597831,24992.049183998406 
 01/02  23:00:00,-10.0,1.0,18.28975476156213,0.03654494148198113,2569972.3653042293,0.0,405.2344107108919,211.22024775573226,2858062.0511769755,12496.024591999203,12496.024591999203,14.170727740868974,24992.049183998406 
 01/02  24:00:00,-9.25,1.0,18.27524624872855,0.03661598741767366,2571355.729350618,0.0,402.1458906674678,86.59144817378792,2777901.5600586515,12496.024591999203,12496.024591999203,14.242762418572905,24992.049183998406 
 01/03  01:00:00,-9.55,1.0,18.211725270492305,0.03658761912614368,2585062.567371876,0.0,400.88108414029455,35.55370136430708,2806416.6733953906,12496.024591999203,12496.024591999203,14.184047417667022,24992.049183998406 
 01/03  02:00:00,-10.0,1.0,18.089065343378547,0.03654494148198113,2571652.7710426096,0.0,400.364325830751,14.701356140256019,2837245.281943625,12496.024591999203,12496.024591999203,13.995396737757305,24992.049183998406 
 01/03  03:00:00,-9.6875,1.625,18.04256659827945,0.03666160570584651,2574410.807985938,0.0,400.15149068871244,6.112985627872138,2800041.223639049,12496.024591999203,12496.024591999203,13.994691934987861,24992.049183998406 
 01/03  04:00:00,-10.4375,2.625,17.91131206104385,0.036704162127279984,2580847.097746071,0.0,400.0633358171069,2.555740837865118,2866460.8738645418,12496.024591999203,12496.024591999203,13.806942202312952,24992.049183998406 
 01/03  05:00:00,-11.0,2.375,17.7676901429528,0.03668762924673103,2559657.9134150427,0.0,400.0267448752887,1.079215096628026,2905168.373449006,12496.024591999203,12496.024591999203,13.572107099545223,24992.049183998406 
 01/03  06:00:00,-10.3125,2.625,17.773686790928394,0.03673989556298475,2558766.2619167087,0.0,400.0113433436854,0.45772910209502254,2833593.878927763,12496.024591999203,12496.024591999203,13.653811934715698,24992.049183998406 
