Hour,T_out_C,T_in_C,CO2_ppm
155,-15.875,0.168209439833959,846.3780523243374
156,-14.05,-1.3090202648049425,791.735078267245
157,-12.375,-0.1600621210557936,789.5441593800192
158,-12.0,0.0585223244696176,867.7377117822277
159,-12.0,0.1222929753787223,908.096244886478
160,-11.375,0.2190969139775451,926.5777935576208
161,-10.875,0.3383529183392212,935.4839085012024
162,-10.3,-1.359244691638002,818.6315823540197
163,-10.0,-1.6655874610315828,608.8458256905614
164,-10.1875,-1.6995489270707378,496.7602390668778
165,-10.7375,-1.7370379809439742,445.17967896579
166,-11.0,-1.7770980181813023,421.0647481041271
167,-11.062500000000002,-1.824898123270423,409.8013008673779
168,-10.4125,-1.861036827142978,404.55967177054254
169,-10.0,-1.8970322591955608,402.12727357877577
170,-9.375,-1.931982498178624,400.9929918174775
171,-8.375,-1.9512134991532544,400.463639653569
172,-8.625,-1.985940801567452,400.216521175484
173,-8.875,-2.020606010260261,400.1011130546607
174,-8.925,-2.039431855354446,400.0472441014226
175,-8.375,-2.0447035044214124,400.0220814227475
176,-7.75,-2.0421326534001083,400.0102866972189
177,-7.225,-0.198098712157658,520.5926355987373
178,-6.375,0.2119753037111394,731.7337224741779
179,-5.812499999999999,0.3451418259853289,844.2379586060584
180,-5.8875,-0.9921165382606664,785.5537633180227
181,-6.0,0.2833157032527329,775.7791477686098
182,-6.0,0.6693499340889528,853.5491267225757
183,-6.625,0.8652168541074858,894.7140263007601
184,-7.0,1.077677064106762,912.6252582840884
185,-7.0625,1.3045898426923337,923.8627803223252
186,-7.6625,-0.3082186613720029,808.9321751087368
187,-8.625,-0.558290838493016,601.9744659823482
188,-8.875,-0.528439732628553,492.1139889755966
189,-9.55,-0.5166391778924163,442.6827510843292
190,-10.625,-0.5453222254753195,419.5467562858513
191,-10.750000000000002,-0.5627221799184362,408.9787698658012
192,-12.1,-0.6236917885113955,404.1931807083295
193,-13.0,-0.7128403779418115,401.947737704676
194,-11.812500000000002,-0.7768909121717898,400.90624143450833
195,-11.6625,-0.8709824033171438,400.4229981921409
196,-11.375,-0.9815948232946844,400.1958341101777
197,-10.0,-1.0735881353278485,400.0906200622646
198,-9.15,-1.1708428178193246,400.04204723736507
199,-8.375,-1.268123794785641,400.01947626565016
200,-7.625,-1.355729359011934,400.0090327536134
201,-6.525,0.4101561250707614,520.336950956181
202,-5.375,0.7501003101971415,728.9083753836546
203,-4.625,0.8345006432192464,838.3686800128743
204,-3.5250000000000004,-0.5169307768971118,779.0281199186159
205,-3.0,0.7514386060082952,774.5016761302553
206,-2.375,1.0955282534322803,851.7303749463581
207,-2.625,1.2675321401979818,890.4900192159996
208,-3.0,1.442675478793677,903.8854239878692
209,-2.9375000000000004,1.6527488628307745,911.9361671394146
210,-2.9625,0.0574039897840808,798.5208323476984
211,-3.0,-0.1459917736474887,593.6396909731807
212,-3.125,-0.0623516973359301,486.9254130186034
213,-3.075,0.035087474032813,439.6694981702276
214,-3.0,0.1382971634307955,417.95252804055207
215,-3.0,0.2413667889568321,408.1881476762324
216,-3.0,0.3403370180587687,403.7405267653274
217,-3.0,0.4385074686252773,401.6974127491528
218,-3.0,0.5352299776772415,400.7679380131718
219,-3.0,0.6328215188168449,400.3459855135581
220,-2.375,0.7442570687430243,400.1567406352635
221,-2.125,0.8512796270291066,400.0715219708888
222,-1.45,0.9590726493048148,400.03278224883206
223,-1.0,1.0667864968624123,400.0149540091829
224,-0.7500000000000001,1.1702080541288236,400.0068297485856
225,-0.225,1.2842718369653705,400.0031396165586
226,0.3125,1.4062474193780794,400.0014320452679
227,0.4375,1.5262133856439108,400.0006535994206
228,0.4,1.6507605317453895,400.0003004418549
229,0.4625,1.798525476806052,400.0001369002826
230,0.4375,1.969686289869488,400.0000622897887
231,0.4,2.160146926209682,400.0000283049588
232,0.15,2.365728679669423,400.000012663614
233,-0.75,2.5675784470824508,400.00000573838736
234,-1.7,2.7545921156292787,400.0000026165293
235,-2.625,2.9238258311455816,400.0000011864517
236,-3.2500000000000004,3.0739119924847578,400.000000538819
237,-3.775,3.2039130822870865,400.0000002471947
238,-4.625,3.300214442749307,400.0000001132088
239,-5.125,3.371973708104484,400.0000000520336
240,-6.95,3.403158145321613,400.00000002409325
241,-8.625,3.4056239436225586,400.0000000111023
242,-7.75,3.432454462585753,400.0000000051163
243,-8.25,3.430040718576713,400.0000000023758
244,-10.25,3.367814960294456,400.00000000109605
245,-9.4375,3.330948441565812,400.0000000005057
246,-8.8125,3.295616493772637,400.0000000002352
247,-8.375,3.236289991897154,400.00000000010886
248,-6.874999999999999,3.1897202137492395,400.0000000000505
249,-6.7,3.127697833176024,400.0000000000237
250,-5.75,3.069730641767025,400.000000000011
251,-4.125,3.0350278660752488,400.0000000000052
252,-3.225,3.007717537280038,400.00000000000256
253,-2.375,3.012423751055137,400.0000000000013
254,-1.4375,3.0593526435307195,400.0000000000005
255,-1.6625,3.125711483588175,400.00000000000057
256,-2.0,3.214374439692447,400.0000000000002
257,-2.3125,3.3256164439624034,400.0000000000002
258,-4.0625,3.4153632578408555,400.0000000000001
259,-5.0,3.502402663410438,400.0
260,-4.3125,3.604104881521257,400.0
261,-5.2125,3.663849943914943,400.0000000000002
262,-4.75,3.715791231749536,400.0000000000001
263,-3.75,3.776522486642995,400.0000000000002
264,-3.85,3.79963335260145,400.00000000000017
265,-4.0,3.8038421812239274,400.0000000000001
266,-4.125,3.812163903345316,400.0000000000001
267,-4.7,3.808411938234895,400.00000000000017
268,-6.25,3.783737607522056,400.00000000000006
269,-6.250000000000001,3.779127193024309,400.0
270,-6.55,3.769939297154201,400.00000000000017
271,-7.0,3.744948248813543,400.0000000000003
272,-6.75,3.735669135606317,400.0000000000003
273,-6.85,5.575293074219427,520.1449455082517
274,-7.0,5.939626413058671,728.3677565448368
275,-6.125,6.03860637270493,838.8928841224555
276,-5.85,4.673376712618532,780.8122220749093
277,-4.75,5.94734500885172,771.8275754674306
278,-2.25,6.345947494279274,851.7153504238572
279,-1.075,6.557531774720959,896.6458950855881
280,-1.625,6.751304205288256,913.4857645680802
281,-1.5000000000000002,6.966281168975502,921.6066235381988
282,-2.325,5.350796793890198,806.2929091999042
283,-3.625,5.094416865296672,599.7641950428829
284,-2.75,5.131108471708135,490.85588803431847
285,-3.25,5.1395202205264034,441.8572084979993
286,-4.0,5.11182193057952,419.10000643861576
287,-2.75,5.105821214548236,408.7345698444646
288,-4.5,5.039216502052835,404.0140692914092
289,-6.0,4.948586734534892,401.83720898252056
290,-3.6875,4.919590227262965,400.8436422071461
291,-3.9875,4.850544202224668,400.3885250707152
292,-5.0,4.744329149244519,400.1783040262278
293,-2.75,4.690352734468531,400.0819642778282
294,-6.15,4.550868470530607,400.037779828002
295,-8.375,4.39367039431945,400.01736037045134
296,-7.812499999999999,4.310511659596724,400.0079879190941
297,-7.2625,6.097164608471985,520.3203354713968
298,-5.125,6.41613420530633,729.6004639132447
299,-1.4375,6.48125916887879,840.7933817704035
300,0.1,5.099703654863745,785.3583237713584
301,0.2249999999999999,6.3241023097299305,782.5867611189931
302,0.3,6.653550077764222,860.2676395539331
303,0.175,6.861748456031729,900.6992031248506
304,-1.2125,7.0855700818079095,917.7786514981942
305,-2.5625,7.320957807703856,925.5516782916858
306,-2.9625,5.731528768595645,808.6947484527681
307,-3.625,5.5188590955624575,600.8893971404722
308,-3.875,5.5605073909702885,491.4355855775143
309,-3.925,5.58737749280921,442.09014693256336
310,-4.0,5.590685174752834,419.2415770089464
311,-3.9375,5.575811502683501,408.8090778032477
312,-4.5875,5.534606573036042,404.0456107109302
313,-5.0,5.486047963350125,401.8527674788921
314,-4.5625,5.444831954109206,400.849920620293
315,-4.1125,5.40027718466563,400.391099045566
316,-4.625,5.337562448322604,400.1792495647435
317,-4.0625,5.285893640606973,400.082251542934
318,-3.3125,5.245940115746319,400.03787618657856
319,-3.075,5.195587276813946,400.01740200115154
320,-2.5625,5.153613173004461,400.00797969943824
321,-2.1125,6.981829207546664,520.1812126114012
322,-1.375,7.326586402890327,728.8157252367257
323,-0.875,7.393797533909963,838.7808323084405
324,0.0124999999999999,6.026536754446983,780.0958314016887
325,0.625,7.322562621279223,777.1920107249757
326,0.825,7.686220008215663,856.1666130258166
327,0.8375000000000001,7.913147061281558,896.4150088038117
328,0.925,8.164080572624655,913.6902790848596
329,1.125,8.430034716258772,921.818235657034
330,1.075,6.856397891068671,805.6944043674531
331,1.375,6.670251104341704,599.0915719977265
332,1.4125,6.740915935645975,490.2276357648177
333,1.3624999999999998,6.801050926703712,441.2603018586211
334,1.5875,6.858527532408639,418.8010913820699
335,1.7625,6.911419620834653,408.55555680587145
336,1.7375,6.957827702078832,403.9025843709197
337,1.8875,7.006341886401003,401.7748926648708
338,1.625,7.050596057651019,400.80822309142144
339,1.3375,7.092131530318193,400.3684773088477
340,1.3,7.14076018691081,400.16774513484216
341,1.2375,7.19099697797396,400.0763920996912
342,1.075,7.238650999611934,400.0348576404806
343,1.125,7.288440179901672,400.0158917323644
344,1.1375,7.337113710199927,400.00724237403386
345,1.0375,9.214392721305387,519.9419541202324
346,1.0,9.634541861517842,727.5677203128731
347,0.9375,9.789821547241717,835.9660905691217
348,1.15,8.4863804286776,775.9919150654134
349,1.1125,9.779219381719214,772.9628620017354
350,1.0,10.097203180457022,850.788059950428
351,1.0625,10.245975344859833,889.9615592220393
352,0.975,10.38221612462258,907.8462255946706
353,0.9625,10.515913283721394,915.9969404428736
354,1.125,8.857806438511613,799.7859136094618
355,1.075,8.575841274224132,594.7344425677736
356,1.125,8.55504669079174,487.1668175029752
357,1.3249999999999995,8.544006085839932,439.35251109242313
358,1.15,8.521516764918202,417.7811127539575
359,1.0625,8.494533231092403,408.04508631424886
360,1.0375,8.465868465682423,403.6506765584649
361,0.875,8.431815440581136,401.6515722489503
362,0.675,8.399432369491286,400.7474682147798
363,0.6,8.366485493545738,400.3392721734151
364,0.35,8.326343088949603,400.1536306448724
365,0.075,8.287287488509651,400.0697228852035
366,0.0,8.254246981336701,400.0317406769895
367,0.0,8.226676703964378,400.0144230882672
368,-0.1875,8.202757808209245,400.0065509494
369,-0.1125,10.009465257024432,519.9473361471266
370,0.0,10.36790778485692,727.4296402275537
371,0.0,10.469439459555248,835.6713445275223
372,0.0,9.120066652527145,775.7990094525442
373,0.0,10.361461540857356,772.379487626564
374,0.0,10.64532587072729,849.6874299052591
375,0.0,10.76573389393705,889.2068151686371
376,0.0,10.880176252781297,906.1980792543712
377,0.0,10.997707181818274,914.043747644046
378,0.0,9.32076215529172,798.0401074951656
379,0.0,9.022667999021705,593.4151511244054
380,0.0,8.9925174288807,486.6965055978805
381,0.0,8.96856078286374,439.1723570708958
382,0.0,8.94473115684518,417.6246642018113
383,-0.375,8.916710780457402,407.9338044931368
