=== ОГЛЯД СИМУЛЯЦІЇ ===

Годин розрахунку: 8760

Показник: T_out_C
  Мін: -21.19
  Макс: 32.50
  Середнє: 9.71

Показник: T_in_C
  Мін: -2.04
  Макс: 34.90
  Середнє: 17.87

Показник: CO2_ppm
  Мін: 400.00
  Макс: 935.48
  Середнє: 523.53

=== ДАНІ (ТІЛЬКИ КОЖЕН 24-й КРОК ДЛЯ ОГЛЯДУ) ===
      T_out_C     T_in_C     CO2_ppm
6672   7.6000  18.000000  402.947156
6696   4.3250  18.000000  402.594961
6720  14.7000  18.000000  402.420109
6744  18.0000  18.945864  402.176034
6768   6.0250  18.000000  403.275488
6792   8.4750  18.000000  400.000000
6816  14.8125  18.000000  400.000000
6840   9.8875  18.000000  402.437878
6864  17.7375  18.000000  402.037230
6888   3.3125  16.683587  402.437867
6912   4.1875  16.605970  403.116249
6936   3.2250  14.550228  403.238975
6960   2.4125  15.170225  400.000000
6984   3.6750  15.677262  400.000000
7008   5.5875  16.621131  403.167532
7032  10.7750  15.812883  403.066519
7056   7.3000  17.185675  402.542796
7080   7.0750  17.870594  402.505137
7104  14.0375  17.999816  402.407707
7128   8.0000  18.000000  400.000000
7152   6.1500  18.000000  400.000000
7176   6.0125  18.000000  402.482645
7200   7.7750  17.830357  402.477816
7224   6.0375  17.379940  402.178195
7248   4.9250  15.390094  402.956753
7272  -0.9500  14.389106  403.284868
7296  12.1625  12.077394  400.000000
7320   9.2375  14.950240  400.000000
7344   5.1500  17.403688  402.407662
7368   8.9500  18.000000  402.430706
7392  14.7000  18.000000  402.112468
7416  11.5750  18.000000  402.257703
7440  10.5125  18.000000  402.380867
7464   7.4375  18.000000  400.000000
7488   7.1750  17.107930  400.000000
7512   2.3750  16.912070  402.508270
7536   7.3000  16.794476  403.049670
7560   8.6000  16.155973  402.880523
7584   6.8750  16.096513  402.665644
7608   3.3375  16.138266  402.966349
7632   7.7625  13.863507  400.000000
7656   7.7000  15.676272  400.000000
7680   1.9625  15.301522  402.936714
7704   1.8375  13.899982  403.379434
7728  -1.3000  13.064986  403.410068
7752  -3.0000  11.366883  403.520477
7776  -1.8875  10.295388  403.552499
7800  -1.1625   8.993748  400.000000
7824  -5.5250   7.887476  400.000000
7848   2.8875   6.897098  403.205856
7872   0.6875   9.254771  403.046007
7896  -1.1375   9.512569  403.418442
7920  -2.1250   8.665099  402.850305
7944  -5.3125   7.350325  403.283897
7968   0.4375   7.232487  400.000000
7992  -3.3875   7.566044  400.000000
8016  -1.9000   7.646817  403.738817
8040  -0.6625   8.115559  403.650537
8064  -1.1750   8.198928  403.575790
8088  -2.7875   8.463891  403.537540
8112  -2.9250   7.939237  403.927435
8136  -3.1000   6.866972  400.000000
8160  -6.0750   6.756659  400.000000
8184  -4.1750   5.267295  404.230155
8208  -3.2000   5.863506  404.183058
8232  -3.8625   6.531521  404.118162
8256  -1.3375   6.815419  404.021626
8280  -1.7250   7.236352  403.759590
8304  -0.9375   6.980612  400.000000
8328   0.3125   7.836265  400.000000
8352  -3.1625   7.834226  403.539744
8376  -1.5625   7.699435  404.063857
8400   1.5625   8.422412  404.043361
8424   3.8000   9.689419  403.753605
8448   4.6000  11.090592  403.663743
8472   6.0500  11.573039  400.000000
8496   3.9125  12.630888  400.000000
8520   1.4250  12.574378  403.071285
8544   0.3625  11.379470  402.920433
8568  -0.6375  10.482099  403.021818
8592  -0.5375   9.687868  403.437080
8616   5.9125  10.399156  403.235848
8640   9.0625  12.203565  400.000000
8664   1.9000  13.030977  400.000000
8688   4.1250  12.151587  403.480357
8712   5.3500  12.838296  403.329077
8736   5.2625  13.686213  403.100848
