Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/03  13:00:00,-9.4875,3.625,20.0,0.003757410430868856,649223.147350067,0.0,400.0001996850905,4465845.766484218,18744.036887998802,18744.036887998802,15.680917496177146,37488.073775997604 
 01/03  14:00:00,-8.375,3.375,20.0,0.003675888468488741,633911.7221707526,0.0,400.00009030078525,4298012.137612737,18744.036887998802,18744.036887998802,15.84778912974769,37488.073775997604 
 01/03  15:00:00,-7.375,3.625,20.0,0.003717367459625318,639406.9927463207,0.0,400.0000408268496,4147557.353522375,18744.036887998802,18744.036887998802,15.997785745632513,37488.073775997604 
 01/03  16:00:00,-6.375,4.625,20.0,0.00396607999977658,671956.2939065562,0.0,400.0000184052384,3996378.3339214334,18744.036887998802,18744.036887998802,16.147785255376125,37488.073775997604 
 01/03  17:00:00,-6.625,3.75,20.0,0.00374362084086404,672215.0518960126,0.0,400.00000828339336,4034285.839446188,18744.036887998802,18744.036887998802,16.11028688309768,37488.073775997604 
 01/03  18:00:00,-6.6875,3.625,20.0,0.0037164535664828014,688044.7520054934,0.0,400.0000037484414,4044807.6770940367,18744.036887998802,18744.036887998802,16.100903693987117,37488.073775997604 
 01/03  19:00:00,-6.8125,4.0,20.0,0.0038034565377521178,718206.0552085708,0.0,400.00000169687974,4063338.577627425,18744.036887998802,18744.036887998802,16.082148078410704,37488.073775997604 
 01/03  20:00:00,-6.375,4.625,20.0,0.00396607999977658,746397.834289856,0.0,400.00000076640623,3996378.3339214334,18744.036887998802,18744.036887998802,16.14777046182865,37488.073775997604 
 01/03  21:00:00,-6.0625,5.625,20.0,0.004296036789921962,795270.1075054859,0.0,400.000000344866,3949521.057472937,18744.036887998802,18744.036887998802,16.194642144380147,37488.073775997604 
 01/03  22:00:00,-6.0375,6.0,20.0,0.0044284816116423684,826859.169558221,0.0,400.00000015482215,3945516.540153802,18744.036887998802,18744.036887998802,16.19839039583513,37488.073775997604 
 01/03  23:00:00,-6.625,6.0,20.0,0.004432780098303787,857990.9189690424,0.0,400.00000006941974,4034285.8394461875,18744.036887998802,18744.036887998802,16.110263667627724,37488.073775997604 
 01/03  24:00:00,-7.0625,5.375,20.0,0.004222868416909336,858898.249902102,0.0,400.000000031201,4100819.5405659927,18744.036887998802,18744.036887998802,16.04463075316032,37488.073775997604 
 01/04  01:00:00,-7.6625,4.375,20.0,0.003917656468884627,849313.6823754486,0.0,400.000000014107,4190975.6604589336,18744.036887998802,18744.036887998802,15.95462414438922,37488.073775997604 
 01/04  02:00:00,-8.0,4.0,20.0,0.003815600530982964,857671.9912906879,0.0,400.0000000063984,4241590.191249482,18744.036887998802,18744.036887998802,15.903991658291297,37488.073775997604 
 01/04  03:00:00,-7.75,4.625,20.000000000000004,0.003991444038407015,889464.969425004,0.0,400.0000000029021,4203962.971295492,18744.036887998802,18744.036887998802,15.94148265377751,37488.073775997604 
 01/04  04:00:00,-7.225,3.75,20.0,0.0037554630481978772,865427.8014189019,0.0,400.0000000013156,4124282.1608678643,18744.036887998802,18744.036887998802,16.02022740944615,37488.073775997604 
 01/04  05:00:00,-7.0,4.25,20.0,0.0038779484829456336,891658.912457092,0.0,400.0000000005979,4089407.202859289,18744.036887998802,18744.036887998802,16.05397731059439,37488.073775997604 
 01/04  06:00:00,-6.812499999999999,4.375,20.0,0.0039007989679626714,905676.6152730534,0.0,400.00000000027103,4061430.0009107757,18744.036887998802,18744.036887998802,16.0821001792775,37488.073775997604 
 01/04  07:00:00,-6.8875,4.0,20.0,0.0037988694335892837,908897.7099507439,0.0,400.0000000001231,4073687.513880063,18744.036887998802,18744.036887998802,16.070843314529547,37488.073775997604 
 01/04  08:00:00,-7.0,4.625,20.0,0.0039754441044861505,947158.5742840972,0.0,400.0000000000559,4090876.7844975386,18744.036887998802,18744.036887998802,16.053961183184445,37488.073775997604 
 01/04  09:00:00,-6.6875,5.0,20.0,0.004078864816969795,968154.5030078848,0.0,400.00000000002547,4043707.190198358,18744.036887998802,18744.036887998802,16.100829893116746,37488.073775997604 
 01/04  10:00:00,-6.1875,6.25,20.0,0.004530741855268007,1018945.1286618952,0.0,400.00000000001177,3967354.861749689,18744.036887998802,18744.036887998802,16.175829241528316,37488.073775997604 
 01/04  11:00:00,-6.625,5.75,20.0,0.004348644432109784,1016072.5906200904,0.0,400.00000000000546,4034626.5623219493,18744.036887998802,18744.036887998802,16.110202131406133,37488.073775997604 
 01/04  12:00:00,-6.562500000000001,3.75,20.0,0.003736242267780936,956650.4813130674,0.0,400.0000000000027,4026284.927319764,18744.036887998802,18744.036887998802,16.11956498916758,37488.073775997604 
 01/04  13:00:00,-6.1125,4.25,20.0,0.0038593733298268665,979058.752599353,0.0,400.0000000000013,3957944.683300335,18744.036887998802,18744.036887998802,16.187055967103866,37488.073775997604 
 01/04  14:00:00,-6.0,4.375,20.0,0.0038882113965026245,996704.6675091216,0.0,400.00000000000057,3940692.858341063,18744.036887998802,18744.036887998802,16.20392673038358,37488.073775997604 
 01/04  15:00:00,-5.375,4.625,20.0,0.003950583591634015,1010138.9336697913,0.0,400.00000000000057,3846008.192587713,18744.036887998802,18744.036887998802,16.297672396985973,37488.073775997604 
 01/04  16:00:00,-5.0,4.375,20.0,0.003873426407307155,1016300.7521482406,0.0,400.0000000000005,3789850.220132456,18744.036887998802,18744.036887998802,16.35391770240057,37488.073775997604 
 01/04  17:00:00,-5.0,3.375,20.0,0.0036270776234877894,1009599.520398035,0.0,400.0000000000002,3791025.4208279406,18744.036887998802,18744.036887998802,16.35390691896409,37488.073775997604 
 01/04  18:00:00,-5.125,3.0,20.0,0.0035416606485943474,1018142.2336827298,0.0,400.0000000000001,3810545.7447001887,18744.036887998802,18744.036887998802,16.335144261086498,37488.073775997604 
 01/04  19:00:00,-5.075,2.375,20.0,0.003440654653696431,1020732.8886211795,0.0,400.0000000000001,3802924.070351773,18744.036887998802,18744.036887998802,16.34263387932637,37488.073775997604 
 01/04  20:00:00,-5.0,2.0,20.0,0.0033903086037415896,1028199.161799303,0.0,400.00000000000017,3791491.211136215,18744.036887998802,18744.036887998802,16.353875525979674,37488.073775997604 
 01/04  21:00:00,-4.5,3.25,20.0,0.0035927280036406307,1056163.3208460193,0.0,400.0000000000001,3716786.2787152114,18744.036887998802,18744.036887998802,16.428863572550778,37488.073775997604 
 01/04  22:00:00,-4.075,2.75,20.0,0.0034954937325911975,1051733.8778273265,0.0,400.0000000000002,3652678.907910941,18744.036887998802,18744.036887998802,16.49260537877291,37488.073775997604 
 01/04  23:00:00,-4.0,2.0,20.0,0.0033769595194707716,1052085.5955884815,0.0,400.0000000000002,3641102.768720113,18744.036887998802,18744.036887998802,16.503850570210936,37488.073775997604 
 01/04  24:00:00,-3.875,1.375,20.0,0.0033068729070297627,1055777.1784871172,0.0,400.00000000000017,3623140.4263792,18744.036887998802,18744.036887998802,16.52259062242443,37488.073775997604 
 01/05  01:00:00,-4.55,3.5,20.0,0.003681170149472399,1122776.017157987,0.0,400.00000000000017,3725209.068021623,18744.036887998802,18744.036887998802,16.421334124100827,37488.073775997604 
 01/05  02:00:00,-5.0,3.75,20.0,0.003718850118585771,1147918.6541987583,0.0,400.00000000000017,3791247.3257940095,18744.036887998802,18744.036887998802,16.353838927366336,37488.073775997604 
 01/05  03:00:00,-5.0,3.0,20.0,0.003549563476159792,1142651.2220129827,0.0,400.00000000000017,3790249.251059026,18744.036887998802,18744.036887998802,16.353843427358882,37488.073775997604 
 01/05  04:00:00,-5.625,3.625,20.0,0.0036915673760460387,1184528.1355196075,0.0,400.00000000000017,3885025.9120646846,18744.036887998802,18744.036887998802,16.260093165358334,37488.073775997604 
 01/05  05:00:00,-6.0,3.375,20.0,0.003640952270052472,1201012.187518131,0.0,400.00000000000034,3941877.7685983386,18744.036887998802,18744.036887998802,16.203839839025246,37488.073775997604 
 01/05  06:00:00,-6.749999999999999,3.0,20.0,0.003576073678217608,1221152.9238600708,0.0,400.0000000000003,4055162.076675951,18744.036887998802,18744.036887998802,16.09133606198322,37488.073775997604 
 01/05  07:00:00,-7.7,3.0,20.0,0.0035876456876705294,1252083.0997453672,0.0,400.00000000000034,4198602.916623055,18744.036887998802,18744.036887998802,15.948831132062885,37488.073775997604 
 01/05  08:00:00,-8.625,2.375,20.0,0.003493169690305246,1270292.6858886657,0.0,400.00000000000034,4337850.471390921,18744.036887998802,18744.036887998802,15.810076774699908,37488.073775997604 
 01/05  09:00:00,-9.125,2.0,20.0,0.003452896992273623,1286852.6422903412,0.0,400.00000000000034,4412544.430321865,18744.036887998802,18744.036887998802,15.735073030079981,37488.073775997604 
 01/05  10:00:00,-9.7,2.0,21.261290069530688,0.003457508004811534,0.0,838256.7698612121,509.1890980415267,4659458.4973822255,18744.036887998802,18744.036887998802,16.548584352218953,6816288.073775997 
 01/05  11:00:00,-10.0,2.0,22.187657894127184,0.0034571533851687486,0.0,863624.0187052923,699.1379437342838,4866212.829722781,18744.036887998802,18744.036887998802,17.41298021342331,8346288.073775997 
 01/05  12:00:00,-9.8125,2.625,22.29310158041342,0.0035638001264506128,0.0,855266.7685735407,812.0511237377035,4858922.230576344,18744.036887998802,18744.036887998802,17.5634607772972,8346288.073775997 
 01/05  13:00:00,-9.8875,2.375,22.367341714735545,0.003519630278420924,0.0,858728.1865811757,859.7459253881477,4881284.321378877,18744.036887998802,18744.036887998802,17.61747670208269,8346288.073775997 
 01/05  14:00:00,-10.0,2.0,20.1989829859115,0.0034581198397477166,566371.7851033211,207395.90437623922,770.8060472432,4596850.038007535,18744.036887998802,18744.036887998802,15.909704562104928,256368.07377599765 
 01/05  15:00:00,-10.0,2.0,21.451350163748497,0.0034581198397477166,0.0,866299.6605256868,727.8827510520807,4729765.409506311,18744.036887998802,18744.036887998802,16.655886490658638,6816288.073775997 
 01/05  16:00:00,-10.0,2.0,22.383680413901494,0.00345846094136382,0.0,866487.6257636881,809.9679405746098,4895013.235794813,18744.036887998802,18744.036887998802,17.586685088874074,8346288.073775997 
 01/05  17:00:00,-11.25,2.0,22.43066939230345,0.003475183847226464,0.0,894229.4192432051,859.168564902373,5097629.508513988,18744.036887998802,18744.036887998802,17.479724847110845,8346288.073775997 
 01/05  18:00:00,-11.437500000000002,2.0,22.465872519949613,0.0034979574994078114,0.0,901873.9346403845,880.4179241642292,5130275.3765861625,18744.036887998802,18744.036887998802,17.472227772559215,8346288.073775997 
 01/05  19:00:00,-11.6625,2.0,20.206815828779476,0.003492840663190115,664371.452903098,218858.07636665934,771.508942226475,4849487.550702629,18744.036887998802,18744.036887998802,15.67272998749417,37488.073775997604 
 01/05  20:00:00,-12.625,3.25,20.000000052124054,0.0037176368174177206,976436.1129266955,0.0,581.414441653486,4937978.27341516,18744.036887998802,18744.036887998802,15.21027790250666,37488.073775997604 
 01/05  21:00:00,-12.5625,2.75,20.000000000003006,0.003645714580270678,1055055.5400339495,0.0,482.78626360841554,4928812.723671051,18744.036887998802,18744.036887998802,15.219616379419012,37488.073775997604 
