Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/05  08:00:00,-8.625,2.375,2.27475704119958,400.0000000000002,1652440.5076689848,18751.537502999996,18751.537502999996,0.7487723056317601,9037503.075006 
 01/05  09:00:00,-9.125,2.0,2.258590725500897,400.0000000000003,1725162.9602728712,18751.537502999996,18751.537502999996,0.6590390812024189,9037503.075006 
 01/05  10:00:00,-9.7,2.0,4.085176963578158,520.3403195634256,2059203.1427330743,18751.537502999996,18751.537502999996,1.9595750365309814,15546303.075006 
 01/05  11:00:00,-10.0,2.0,4.446436637288814,730.0921239782185,2183087.449968908,18751.537502999996,18751.537502999996,2.3566182309673644,15546303.075006 
 01/05  12:00:00,-9.8125,2.625,4.533520708999426,841.1575871998875,2169737.4592415295,18751.537502999996,18751.537502999996,2.470938441400158,15546303.075006 
 01/05  13:00:00,-9.8875,2.375,3.1526610039261502,784.9608521174606,1999485.730688428,18751.537502999996,18751.537502999996,1.4417813876580454,10339263.075006 
 01/05  14:00:00,-10.0,2.0,4.367523337422388,782.6813702663109,2147513.391149922,18751.537502999996,18751.537502999996,2.1608849089715725,15546303.075006 
 01/05  15:00:00,-10.0,2.0,4.6312206992117835,860.5295893598266,2211444.446297641,18751.537502999996,18751.537502999996,2.519788954642026,15546303.075006 
 01/05  16:00:00,-10.0,2.0,4.717965977315014,900.2522422375387,2225097.1405159463,18751.537502999996,18751.537502999996,2.5978612589526375,15546303.075006 
 01/05  17:00:00,-11.25,2.0,4.780877351402858,918.1592566865893,2424689.8638633955,18751.537502999996,18751.537502999996,2.4710821119653192,15546303.075006 
 01/05  18:00:00,-11.437500000000002,2.0,4.853518819071393,926.8975208379904,2462781.482796957,18751.537502999996,18751.537502999996,2.4958915647049844,15546303.075006 
 01/05  19:00:00,-11.6625,2.0,3.1001562367093194,810.96594114827,2267033.778890445,18751.537502999996,18751.537502999996,1.1727478086466543,9037503.075006 
 01/05  20:00:00,-12.625,3.25,2.709681265265677,603.1750252514275,2326591.1458950858,18751.537502999996,18751.537502999996,0.5461823096573684,9037503.075006 
 01/05  21:00:00,-12.5625,2.75,2.6160803501437933,492.68308206622453,2300098.955117001,18751.537502999996,18751.537502999996,0.4591427406865225,9037503.075006 
 01/05  22:00:00,-13.9875,0.75,2.507790230313188,442.95345842508647,2501600.8985748747,18751.537502999996,18751.537502999996,0.16903032082892303,9037503.075006 
 01/05  23:00:00,-15.625,0.0,2.3640756065126207,419.84051470858003,2727072.518461828,18751.537502999996,18751.537502999996,-0.1997759816225932,9037503.075006 
 01/05  24:00:00,-14.625,1.25,2.2517083000043217,409.17139057879984,2557605.7932278444,18751.537502999996,18751.537502999996,-0.1542800059915424,9037503.075006 
 01/06  01:00:00,-15.8,0.75,2.102010946807087,404.25868154907823,2716003.658170235,18751.537502999996,18751.537502999996,-0.4370240907687224,9037503.075006 
 01/06  02:00:00,-17.0,0.0,1.9239061910612874,401.96890168409624,2868660.9319020314,18751.537502999996,18751.537502999996,-0.7757465163640453,9037503.075006 
 01/06  03:00:00,-15.687499999999998,0.625,1.7860161397330723,400.91145518625865,2648578.987795507,18751.537502999996,18751.537502999996,-0.702845537700557,9037503.075006 
 01/06  04:00:00,-17.4625,0.375,1.5934448216587167,400.42439563896187,2891677.322477478,18751.537502999996,18751.537502999996,-1.107839802652769,9037503.075006 
 01/06  05:00:00,-19.0,0.0,1.3752766142227268,400.19646184778054,3088521.1003057887,18751.537502999996,18751.537502999996,-1.5355392397132988,9037503.075006 
 01/06  06:00:00,-17.4375,0.625,1.216501238834365,400.09105805068987,2827046.4878402166,18751.537502999996,18751.537502999996,-1.4461363049086842,9037503.075006 
 01/06  07:00:00,-18.6875,0.375,1.014411114376123,400.0424696346772,2989154.6632669545,18751.537502999996,18751.537502999996,-1.7823408145112014,9037503.075006 
 01/06  08:00:00,-20.625,0.0,0.7757517445157132,400.0196891894263,3244245.0915949047,18751.537502999996,18751.537502999996,-2.2821749289419557,9037503.075006 
 01/06  09:00:00,-19.125,0.625,0.6031922772097755,400.00913884013084,2988662.1751058046,18751.537502999996,18751.537502999996,-2.221957018822417,9037503.075006 
 01/06  10:00:00,-19.25,0.375,2.2894468317940406,520.5855195364104,3232331.00702137,18751.537502999996,18751.537502999996,-0.9758826712733106,15546303.075006 
 01/06  11:00:00,-20.0,0.0,2.467302248290759,731.2505022439402,3399163.145033703,18751.537502999996,18751.537502999996,-0.7867823281229487,15546303.075006 
 01/06  12:00:00,-16.4375,0.625,2.4367635158832166,844.4359343900362,2854785.7874729945,18751.537502999996,18751.537502999996,-0.29147775594380365,15546303.075006 
 01/06  13:00:00,-15.3625,0.375,0.9450078766118671,790.0335469033188,2495622.136016149,18751.537502999996,18751.537502999996,-1.2367451481831842,10339263.075006 
 01/06  14:00:00,-15.375,0.0,2.0427118249619047,787.4915820585411,2608811.73588146,18751.537502999996,18751.537502999996,-0.6120446595886802,15546303.075006 
 01/06  15:00:00,-11.499999999999998,1.25,2.2937664165259974,866.2918615519999,2081638.0583838597,18751.537502999996,18751.537502999996,0.29690613836636476,15546303.075006 
 01/06  16:00:00,-12.275,1.375,2.3421696020033798,908.0690850141974,2211898.1257828916,18751.537502999996,18751.537502999996,0.2541307707375567,15546303.075006 
 01/06  17:00:00,-14.625,0.375,2.364289381154321,925.1185145885901,2568192.0662929816,18751.537502999996,18751.537502999996,-0.0922896179591183,15546303.075006 
 01/06  18:00:00,-14.125000000000002,0.625,2.4551644973690427,933.781362252708,2504406.3723943494,18751.537502999996,18751.537502999996,0.047424872262176176,15546303.075006 
